Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2011,February,62,0,0,-1,-1,-1,-1,-1,-1,-1,3.573214285714286,55.31642857142857,4.673571428571429,11.72178571428571,-1.148571428571428,Bageshwar
2011,March,85,0,0,-1,-1,-1,-1,-1,-1,-1,4.01258064516129,46.33354838709677,9.230645161290322,17.08870967741936,2.322903225806452,Bageshwar
2011,April,163,0,0,-1,-1,-1,-1,-1,-1,-1,5.166333333333333,44.501,13.02966666666667,20.025,6.589,Bageshwar
2011,May,146,0,0,-1,-1,-1,-1,-1,-1,-1,7.525161290322581,47.93,18.0858064516129,24.89903225806452,11.62870967741936,Bageshwar
2011,June,280,3,0,-1,-1,-1,-1,-1,-1,-1,11.75766666666667,71.787,17.94433333333334,23.17933333333333,12.987,Bageshwar
2011,July,234,0,2,-1,-1,-1,-1,-1,-1,-1,14.41806451612903,87.66741935483871,17.63290322580645,21.08258064516129,14.56806451612903,Bageshwar
2011,August,179,0,3,-1,-1,-1,-1,-1,-1,-1,14.24064516129032,89.07387096774194,17.19,20.53967741935484,14.28193548387097,Bageshwar
2011,September,129,0,0,-1,-1,-1,-1,-1,-1,-1,12.02733333333333,80.99133333333333,16.009,20.30866666666667,12.36833333333333,Bageshwar
2011,October,334,0,0,-1,-1,-1,-1,-1,-1,-1,7.751290322580645,67.34064516129033,12.16903225806452,17.73096774193548,7.812258064516129,Bageshwar
2011,November,76,0,0,-1,-1,-1,-1,-1,-1,-1,4.792,51.23066666666667,9.421,16.47333333333333,4.713,Bageshwar
2011,December,61,0,0,-1,-1,-1,-1,-1,-1,-1,2.55,35.57838709677419,5.525483870967742,13.32451612903226,0.5687096774193549,Bageshwar
2010,January,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.195806451612903,33.85870967741935,4.914516129032258,13.40709677419355,-1.098387096774194,Bageshwar
2010,February,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.126785714285714,46.56214285714286,5.041428571428571,12.84785714285714,-1.467142857142857,Bageshwar
2010,March,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.552258064516129,34.32709677419355,12.1158064516129,20.52806451612903,4.855806451612903,Bageshwar
2010,April,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.631333333333333,24.67966666666667,17.027,24.97166666666667,9.360333333333333,Bageshwar
2010,May,184,3,-1,-1,-1,-1,-1,-1,-1,-1,5.489354838709677,33.52451612903226,19.11096774193549,26.33870967741936,11.92064516129032,Bageshwar
2010,June,161,4,-1,-1,-1,-1,-1,-1,-1,-1,7.834333333333333,42.88133333333334,20.42366666666667,27.03366666666667,13.783,Bageshwar
2010,July,213,2,-1,-1,-1,-1,-1,-1,-1,-1,14.23806451612903,83.4574193548387,18.43193548387097,22.51225806451613,14.86516129032258,Bageshwar
2010,August,215,3,-1,-1,-1,-1,-1,-1,-1,-1,14.39806451612903,90.23483870967742,17.15806451612903,20.25,14.48387096774194,Bageshwar
2010,September,261,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.27566666666667,85.42233333333334,15.49233333333333,19.25866666666667,12.232,Bageshwar
2010,October,276,1,-1,-1,-1,-1,-1,-1,-1,-1,8.330645161290322,71.03999999999999,12.31,17.50354838709677,8.289032258064516,Bageshwar
2010,November,196,1,-1,-1,-1,-1,-1,-1,-1,-1,5.112333333333334,54.57066666666666,9.126333333333333,15.74,4.166666666666667,Bageshwar
2010,December,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.815806451612903,42.86935483870968,4.539677419354838,12.13774193548387,-0.8009677419354838,Bageshwar
